  SEQUENCE:
interface_delta_X ligand_rms_no_super_X description
-19.460 1.187 c18_22_c18_0668_0001
-19.458 1.433 c18_55_c18_0199_0001
-19.457 3.095 c18_77_c18_0433_0001
-19.453 1.489 c18_55_c18_0251_0001
-19.453 1.943 c18_22_c18_0861_0001
-19.443 6.402 c18_44_c18_1042_0001
-19.439 1.313 c18_55_c18_0678_0001
-19.433 1.383 c18_66_c18_0556_0001
-19.432 1.244 c18_66_c18_0118_0001
-19.432 6.438 c18_44_c18_1104_0001
-19.420 2.192 c18_88_c18_0219_0001
-19.418 2.382 c18_44_c18_0409_0001
-19.402 4.165 c18_66_c18_0454_0001
-19.401 0.909 c18_44_c18_0785_0001
-19.395 1.468 c18_55_c18_0586_0001
-19.395 2.329 c18_11_c18_0563_0001
-19.386 6.443 c18_33_c18_1187_0001
-19.379 1.213 c18_22_c18_0400_0001
-19.368 1.168 c18_22_c18_0521_0001
-19.359 1.187 c18_44_c18_0202_0001
-19.356 5.934 c18_33_c18_0934_0001
-19.349 7.789 c18_44_c18_0156_0001
-19.338 6.904 c18_11_c18_0838_0001
-19.336 1.246 c18_33_c18_0731_0001
-19.316 1.424 c18_88_c18_0371_0001
-19.316 1.888 c18_66_c18_0131_0001
-19.312 1.449 c18_88_c18_0506_0001
-19.311 2.343 c18_11_c18_0423_0001
-19.309 1.189 c18_22_c18_0108_0001
-19.301 7.798 c18_88_c18_0761_0001
-19.299 1.787 c18_66_c18_0259_0001
-19.293 1.349 c18_88_c18_0426_0001
-19.288 2.527 c18_11_c18_1121_0001
-19.279 6.809 c18_66_c18_0619_0001
-19.270 1.400 c18_88_c18_0198_0001
-19.270 1.573 c18_66_c18_0185_0001
-19.268 0.909 c18_33_c18_0682_0001
-19.266 1.506 c18_11_c18_0417_0001
-19.259 6.498 c18_44_c18_0664_0001
-19.258 7.305 c18_33_c18_0857_0001
-19.248 1.190 c18_22_c18_0944_0001
-19.246 1.345 c18_88_c18_0832_0001
-19.242 6.901 c18_33_c18_1139_0001
-19.238 1.343 c18_88_c18_0197_0001
-19.237 4.307 c18_33_c18_0445_0001
-19.237 5.294 c18_44_c18_1079_0001
-19.232 6.718 c18_11_c18_1207_0001
-19.227 1.339 c18_11_c18_0559_0001
-19.225 1.146 c18_22_c18_0766_0001
-19.218 6.561 c18_33_c18_0732_0001
-19.217 1.393 c18_22_c18_0791_0001
-19.213 7.794 c18_88_c18_0797_0001
-19.206 1.707 c18_22_c18_0559_0001
-19.203 1.147 c18_22_c18_0594_0001
-19.203 2.380 c18_11_c18_0900_0001
-19.200 1.458 c18_66_c18_0285_0001
-19.188 6.533 c18_44_c18_0743_0001
-19.187 6.167 c18_33_c18_0640_0001
-19.187 6.809 c18_66_c18_1195_0001
-19.184 3.081 c18_22_c18_1102_0001
-19.183 6.515 c18_22_c18_0318_0001
-19.178 6.181 c18_11_c18_0211_0001
-19.168 6.506 c18_33_c18_0821_0001
-19.163 6.369 c18_88_c18_1160_0001
-19.153 2.571 c18_55_c18_0998_0001
-19.149 4.174 c18_44_c18_0589_0001
-19.148 2.324 c18_11_c18_0566_0001
-19.141 2.135 c18_11_c18_0457_0001
-19.137 2.498 c18_33_c18_0536_0001
-19.133 1.266 c18_55_c18_1214_0001
-19.119 4.183 c18_66_c18_0419_0001
-19.113 1.295 c18_22_c18_0697_0001
-19.105 7.339 c18_33_c18_0578_0001
-19.094 1.581 c18_44_c18_0213_0001
-19.085 1.195 c18_66_c18_0233_0001
-19.082 6.257 c18_44_c18_0759_0001
-19.080 3.969 c18_44_c18_0203_0001
-19.078 4.278 c18_33_c18_0299_0001
-19.076 1.145 c18_44_c18_0059_0001
-19.075 6.646 c18_33_c18_0289_0001
-19.073 1.165 c18_22_c18_0381_0001
-19.069 4.511 c18_33_c18_0646_0001
-19.066 1.338 c18_88_c18_1050_0001
-19.053 6.460 c18_11_c18_0917_0001
-19.047 2.126 c18_22_c18_0483_0001
-19.046 4.150 c18_44_c18_0129_0001
-19.045 1.278 c18_11_c18_0138_0001
-19.045 1.605 c18_88_c18_0186_0001
-19.041 1.577 c18_22_c18_0847_0001
